1awr 2alf |  1.51  2.48  2.92  2.83 |  1.99  1.99  2.82  5.52 |  1.86  1.89  2.83  3.97 |  1.51  1.89  2.82  2.83 |  1.74  2.42  2.70  4.10 |  2.17  2.29  3.38  3.46 |  1.80  1.81  2.75  2.55 |  1.74  1.81  2.70  2.55 |  164    6  164
1ce1 1um5 |  1.73  2.14  3.34  4.23 |  2.76  3.31  3.76  5.45 |  3.12  3.48  4.32  3.86 |  1.73  2.14  3.34  3.86 |  3.05  3.05  3.34  3.93 |  3.54  3.54  5.67  4.78 |  4.32  4.32  5.89  7.93 |  3.05  3.05  3.34  3.93 |  431    8  433
1cka 2dvj |  3.45  3.54  4.73  5.03 |  3.40  3.73  4.36  5.08 |  3.09  3.37  4.03  4.45 |  3.09  3.37  4.03  4.45 |  2.82  3.29  5.09  7.70 |  2.96  3.30  5.85  6.15 |  3.35  5.10  6.38  7.20 |  2.82  3.29  5.09  6.15 |   57    9  228
1czy 1czz |  2.68  4.51 11.58 18.99 |  1.91  2.21  2.40  3.05 |  2.39  3.37  6.06 11.05 |  1.91  2.21  2.40  3.05 |  2.56  2.56  3.62  3.81 |  2.03  2.33  2.58  3.21 |  2.06  2.83  3.15  5.68 |  2.03  2.33  2.58  3.21 |  168    7  187
1d4t 1d1z |  4.80  5.61  7.37  8.17 |  1.97  1.97  2.20  2.63 |  2.15  2.97  3.18  3.85 |  1.97  1.97  2.20  2.63 |  5.26  5.26  7.09  7.48 |  5.11  5.59  6.85 10.01 |  5.17  5.33  7.21  8.02 |  5.11  5.26  6.85  7.48 |  104   11  101
1ddv 1i2h |  2.52  2.94  3.97  3.82 |  3.24  3.88  4.75  4.07 |  3.08  3.53  4.70  6.92 |  2.52  2.94  3.97  3.82 |  2.71  3.33  3.95  4.31 |  3.77  3.77  8.36 10.09 |  3.29  3.33  4.64  4.63 |  2.71  3.33  3.95  4.31 |  104    6  138
1dkx  -   |  8.49  8.49  9.11  8.84 |  7.93  7.93  8.19  9.40 |  9.59  9.74 10.29 12.78 |  7.93  7.93  8.19  8.84 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  219    7   - 
1eg4 1eg3 |  6.73  8.61  8.97 11.08 |  9.57 11.38 12.26 16.18 |  6.57 13.12 13.39 13.70 |  6.57  8.61  8.97 11.08 |  6.17 10.80 14.45 16.05 |  6.67  8.44 12.43 22.77 |  7.47  9.46 14.72 15.02 |  6.17  8.44 12.43 15.02 |  260   13  260
1elw  -   |  1.96  1.96  2.53  3.80 |  2.18  2.94  3.30  4.87 |  2.56  2.56  3.38  4.57 |  1.96  1.96  2.53  3.80 |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  -     -     -     -    |  117    8   - 
1er8 1oew |  6.33  6.92  6.92  6.92 |  7.11  7.11  7.78  8.68 |  6.39  6.39  6.90  8.90 |  6.33  6.39  6.90  6.92 |  7.92  8.65  9.87 10.63 |  5.72  8.05  8.09  9.18 |  6.58  6.58  7.84  9.00 |  5.72  6.58  7.84  9.00 |  330    8  330
